28;Analisis Matematico I;A;6;-1
3;Fisica (CBC);A;8;-1
24;ICSE;A;7;-1
40;IPC;A;9;-1
5;Quimica (CBC);A;8;-1
27;Algebra;A;8;-1
61.03;Analisis Matematico II A;H;-1;-1
62.01;Fisica I A;C;8;-1
75.40;Algoritmos I;A;9;-1
61.08;Algebra II A;H;-1;-1
62.03;Fisica II A;P;-1;61.03-62.01
63.01;Quimica;H;-1;-1
75.41;Algoritmos II;A;8;75.40
62.15;Fisica III D;P;-1;61.08-62.03-63.01
66.02;Laboratorio;P;-1;62.03
66.70;Estructura del Computador;P;-1;61.08-62.03-75.41
75.07;Algoritmos III;P;-1;75.41
75.12;Analisis Numerico I;P;-1;61.03-61.08-75.41
61.09;Prob y Estadistica B;P;-1;61.03-61.08
61.10;Analisis Matematico III A;P;-1;61.03-61.08
66.20;Organizacion de Computadoras;P;-1;66.70-66.02
75.06;Organizacion de Datos;P;-1;66.70-75.41
75.42;Taller de Programacion I;P;-1;66.70-75.41-75.12
71.12;Estructura de las Organizaciones;P;-1;75.06
71.14;Modelos y Optimizacion I;P;-1;61.10-62.03-63.01-75.42
75.08;Sistemas Operativos;P;-1;75.06
75.09;Analisis de la Informacion;P;-1;75.07-75.42
75.10;Tecnicas de Diseño;P;-1;75.08-75.09
75.15;Base de Datos;P;-1;75.06-75.09
75.43;Intro a Sistemas Distribuidos;P;-1;66.20-62.15-75.08
75.52;Taller de Programacion II;P;-1;71.14-75.07-75.42
